Coeff,Alpha,Rd,Rf,n_scenarios,OptimizedX,OptimizedY,ObjVal,AvgLoss,StdDevLoss,OptimizationTime
0.0001; 0.68; 0.08; 0.02; 1000; 530557; [531231, 0, 0, 0, 0]; 425517; 51154; 6271; 3.863
0.0001; 0.68; 0.08; 0.02; 5000; 528118; [528791, 0, 0, 0, 0]; 425905; 51195; 6142; 57.417
0.0001; 0.68; 0.08; 0.02; 10000; 525395; [526068, 0, 0, 0, 0]; 426817; 51322; 5470; 193.876
0.0001; 0.68; 0.05; 0.05; 1000; 1000000; [259222, 0, 0, 0, 740777]; 50452; 50452; 0; 0.199
0.0001; 0.68; 0.05; 0.05; 5000; 883289; [0, 0, 0, 0, 883289]; 50452; 1238; 11718; 1.537
0.0001; 0.68; 0.05; 0.05; 10000; 899829; [0, 0, 0, 0, 899829]; 50452; 1207; 9975; 4.125
0.0001; 0.68; 0.02; 0.08; 1000; 1000000; [1000000, 0, 0, 0, 0]; 105749; 82555; 0; 0.167
0.0001; 0.68; 0.02; 0.08; 5000; 1000000; [1000000, 0, 0, 0, 0]; 105749; 82555; 0; 1.084
0.0001; 0.68; 0.02; 0.08; 10000; 1000000; [1000000, 0, 0, 0, 0]; 105749; 82555; 0; 2.251
0.0001; 0.95; 0.08; 0.02; 1000; 1000000; [153685, 0, 0, 0, 846314]; 103704; 103704; 0; 0.209
0.0001; 0.95; 0.08; 0.02; 5000; 919667; [0, 0, 0, 0, 919667]; 103704; 66860; 8538; 1.659
0.0001; 0.95; 0.08; 0.02; 10000; 926673; [0, 0, 0, 0, 926673]; 103704; 67072; 7804; 4.476
0.0001; 0.95; 0.05; 0.05; 1000; 1000000; [816489, 0, 0, 0, 183510]; 155900; 155900; 0; 0.195
0.0001; 0.95; 0.05; 0.05; 5000; 645958; [0, 0, 0, 0, 645958]; 155900; 923; 35340; 1.574
0.0001; 0.95; 0.05; 0.05; 10000; 743822; [0, 0, 0, 0, 743822]; 155900; 732; 25749; 4.256
0.0001; 0.95; 0.02; 0.08; 1000; 1000000; [1000000, 0, 0, 0, 0]; 205057; 82555; 0; 0.169
0.0001; 0.95; 0.02; 0.08; 5000; 1000000; [1000000, 0, 0, 0, 0]; 205057; 82555; 0; 1.099
0.0001; 0.95; 0.02; 0.08; 10000; 1000000; [1000000, 0, 0, 0, 0]; 205057; 82555; 0; 2.219
0.0001; 0.99; 0.08; 0.02; 1000; 1000000; [403678, 0, 0, 0, 596321]; 162751; 162751; 0; 0.206
0.0001; 0.99; 0.08; 0.02; 5000; 781412; [0, 0, 0, 0, 781412]; 162751; 66353; 23526; 1.669
0.0001; 0.99; 0.08; 0.02; 10000; 822427; [0, 0, 0, 0, 822427]; 162751; 66618; 19161; 4.336
0.0001; 0.99; 0.05; 0.05; 1000; 1000000; [1000000, 0, 0, 0, 0]; 211509; 190625; 0; 0.174
0.0001; 0.99; 0.05; 0.05; 5000; 1000000; [1000000, 0, 0, 0, 0]; 211509; 190625; 0; 0.97
0.0001; 0.99; 0.05; 0.05; 10000; 1000000; [1000000, 0, 0, 0, 0]; 211509; 190625; 0; 2.557
0.0001; 0.99; 0.02; 0.08; 1000; 1000000; [1000000, 0, 0, 0, 0]; 257427; 82555; 0; 0.393
0.0001; 0.99; 0.02; 0.08; 5000; 1000000; [1000000, 0, 0, 0, 0]; 257427; 82555; 0; 0.888
0.0001; 0.99; 0.02; 0.08; 10000; 1000000; [1000000, 0, 0, 0, 0]; 257427; 82555; 0; 2.362
0.001; 0.68; 0.08; 0.02; 1000; 510648; [511183, 0, 0, 0, 0]; 2836542; 51665; 2344; 4.069
